stockcode,description,keyword,groupcode
21086,set red spotty paper cups,"{'cup', 'paper', 'red', 'set', 'spotty'}",21084
21087,set posies paper cups,"{'set', 'cup', 'paper', 'posy'}",21084
21088,set fruit salad paper cups,"{'cup', 'fruit', 'paper', 'set', 'salad'}",21084
21089,set green spring paper cups,"{'green', 'cup', 'paper', 'spring', 'set'}",21078
21090,set collage paper plates,"{'set', 'plate', 'paper', 'collage'}",21084
21094,set red spotty paper plates,"{'paper', 'red', 'plate', 'set', 'spotty'}",21084
21095,set posies paper plates,"{'set', 'plate', 'paper', 'posy'}",21084
21096,set fruit salad paper plates,"{'fruit', 'paper', 'plate', 'set', 'salad'}",21084
21098,christmas toilet roll,"{'roll', 'christmas', 'toilet'}",21098
21100,charlie and lola charlotte bag,"{'charlie', 'charlotte', 'bag', 'lola'}",20711
21106,cream slice flannel chocolate spot,"{'slice', 'cream', 'chocolate', 'spot', 'flannel'}",21106
21107,cream slice flannel pink spot,"{'slice', 'cream', 'spot', 'flannel', 'pink'}",21106
21108,fairy cake flannel assorted colour,"{'fairy', 'colour', 'flannel', 'assorted', 'cake'}",21108
21109,large cake towel chocolate spots,"{'spot', 'chocolate', 'large', 'cake', 'towel'}",21109
21110,large cake towel pink spots,"{'spot', 'large', 'cake', 'pink', 'towel'}",21109
21111,swiss roll towel chocolate spots,"{'spot', 'chocolate', 'roll', 'swiss', 'towel'}",21109
21112,swiss roll towel pink spots,"{'spot', 'roll', 'pink', 'swiss', 'towel'}",21109
21114,lavender scented fabric heart,"{'scented', 'heart', 'lavender', 'fabric'}",21114
21115,rose caravan doorstop,"{'rose', 'caravan', 'doorstop'}",21115
21116,owl doorstop,"{'owl', 'doorstop'}",21116
21117,blond doll doorstop,"{'blond', 'doll', 'doorstop'}",21117
21120,boombox ipod classic,"{'classic', 'boombox', 'ipod'}",21120
21121,set red polkadot party candles,"{'candle', 'party', 'polkadot', 'red', 'set'}",72802a
21122,set pink polkadot party candles,"{'candle', 'party', 'polkadot', 'pink', 'set'}",85169a
21123,set ivory polkadot party candles,"{'candle', 'party', 'polkadot', 'ivory', 'set'}",85169a
21124,set blue polkadot party candles,"{'candle', 'party', 'polkadot', 'blue', 'set'}",37488a
21125,set football celebration candles,"{'set', 'candle', 'celebration', 'football'}",21125
21126,set of girls celebration candles,"{'set', 'candle', 'celebration', 'girl'}",21125
21128,gold fishing gnome,"{'fishing', 'gnome', 'gold'}",21128
21129,silver fishing gnome,"{'silver', 'fishing', 'gnome'}",21129
21131,gold standing gnome,"{'standing', 'gnome', 'gold'}",21131
21132,silver standing gnome,"{'silver', 'standing', 'gnome'}",21132
21135,victorian metal postcard spring,"{'postcard', 'spring', 'victorian', 'metal'}",21135
21136,painted metal pears assorted,"{'assorted', 'metal', 'pear', 'painted'}",21136
21137,black record cover frame,"{'black', 'frame', 'cover', 'record'}",21137
21143,antique glass heart decoration,"{'decoration', 'heart', 'glass', 'antique'}",21143
21144,pink poodle hanging decoration,"{'decoration', 'pink', 'hanging', 'poodle'}",21144
21145,antique glass place setting,"{'place', 'glass', 'setting', 'antique'}",21145
21147,jingle bells tree decoration,"{'jingle', 'bell', 'decoration', 'tree'}",21147
21154,red retrospot oven glove,"{'oven', 'retrospot', 'glove', 'red'}",21411
21155,red retrospot peg bag,"{'peg', 'retrospot', 'red', 'bag'}",23545
21156,retrospot childrens apron,"{'apron', 'retrospot', 'childrens'}",21156
21157,red retrospot washbag,"{'retrospot', 'red', 'washbag'}",21157
21158,moody girl door hanger,"{'girl', 'hanger', 'moody', 'door'}",21158
21159,moody boy door hanger,"{'hanger', 'moody', 'door', 'boy'}",21158
21160,keep out girls door hanger,"{'girl', 'hanger', 'door', 'keep'}",21158
21161,keep out boys door hanger,"{'hanger', 'keep', 'door', 'boy'}",21158
21162,toxic area door hanger,"{'hanger', 'area', 'door', 'toxic'}",21162
21163,do not touch my stuff door hanger,"{'touch', 'hanger', 'door', 'stuff'}",21163
21164,home sweet home metal sign,"{'sweet', 'home', 'metal', 'sign'}",21164
21165,beware of the cat metal sign,"{'metal', 'beware', 'cat', 'sign'}",21165
21166,cook with wine metal sign,"{'cook', 'metal', 'wine', 'sign'}",21166
21167,white sage incense,"{'white', 'incense', 'sage'}",21167
21169,youre confusing me metal sign,"{'youre', 'confusing', 'metal', 'sign'}",21169
21171,bathroom metal sign,"{'metal', 'bathroom', 'sign'}",22670
21172,party metal sign,"{'party', 'metal', 'sign'}",21172
21174,pottering in the shed metal sign,"{'metal', 'shed', 'pottering', 'sign'}",21174
21175,gin tonic diet metal sign,"{'metal', 'tonic', 'sign', 'gin', 'diet'}",21175
21179,no junk mail metal sign,"{'metal', 'junk', 'mail', 'sign'}",21179
21181,please one person metal sign,"{'metal', 'please', 'sign', 'person', 'one'}",21181
21186,white dove honeycomb paper garland,"{'white', 'garland', 'dove', 'paper', 'honeycomb'}",21186
21187,white bell honeycomb paper garland,"{'white', 'garland', 'paper', 'honeycomb', 'bell'}",21186
21188,d hearts honeycomb paper garland,"{'heart', 'honeycomb', 'garland', 'paper'}",21186
21189,white honeycomb paper garland,"{'white', 'honeycomb', 'garland', 'paper'}",21186
21190,pink hearts paper garland,"{'heart', 'pink', 'garland', 'paper'}",21078
21191,large white honeycomb paper bell,"{'white', 'large', 'paper', 'honeycomb', 'bell'}",21186
21192,white bell honeycomb paper,"{'white', 'honeycomb', 'paper', 'bell'}",21186
21194,pink honeycomb paper fan,"{'fan', 'honeycomb', 'pink', 'paper'}",21194
21195,pink honeycomb paper ball,"{'honeycomb', 'pink', 'paper', 'ball'}",21194
21196,round white confetti in tube,"{'round', 'confetti', 'white', 'tube'}",21196
21197,multicolour confetti in tube,"{'multicolour', 'confetti', 'tube'}",21197
21198,white heart confetti in tube,"{'confetti', 'white', 'heart', 'tube'}",21196
21199,pink heart confetti in tube,"{'confetti', 'heart', 'pink', 'tube'}",21196
21200,multicolour honeycomb paper garland,"{'multicolour', 'garland', 'honeycomb', 'paper'}",21186
21201,tropical honeycomb paper garland,"{'garland', 'honeycomb', 'paper', 'tropical'}",21186
21202,dolly honeycomb garland,"{'garland', 'honeycomb', 'dolly'}",21202
21204,daisies honeycomb garland,"{'daisy', 'garland', 'honeycomb'}",21204
21205,multicolour d balls garland,"{'multicolour', 'garland', 'ball'}",21205
21206,strawberry honeycomb garland,"{'strawberry', 'garland', 'honeycomb'}",21206
21207,skull and crossbones garland,"{'garland', 'crossbones', 'skull'}",21207
21208,pastel colour honeycomb fan,"{'colour', 'honeycomb', 'fan', 'pastel'}",21208
21209,multicolour honeycomb fan,"{'multicolour', 'honeycomb', 'fan'}",21209
21210,set of retrospot paper doilies,"{'set', 'retrospot', 'doily', 'paper'}",21078
21211,set of skull paper doilies,"{'set', 'doily', 'skull', 'paper'}",21078
21212,pack of retrospot cake cases,"{'cake', 'retrospot', 'case', 'pack'}",21212
21213,pack of skull cake cases,"{'cake', 'skull', 'case', 'pack'}",21212
21215,ivory paper cup cake cases,"{'cup', 'ivory', 'paper', 'cake', 'case'}",21215
21216,set retrospot teacoffeesugar,"{'set', 'retrospot', 'teacoffeesugar'}",21216
21217,red retrospot round cake tins,"{'retrospot', 'tin', 'round', 'cake', 'red'}",21217
21218,red spotty biscuit tin,"{'tin', 'spotty', 'red', 'biscuit'}",21217
21219,set badges balloon girl,"{'set', 'badge', 'balloon', 'girl'}",21219
21220,set badges dogs,"{'set', 'badge', 'dog'}",21220
21221,set badges cute creatures,"{'set', 'badge', 'cute', 'creature'}",21221
21222,set badges beetles,"{'set', 'badge', 'beetle'}",21222
21224,set skull badges,"{'set', 'badge', 'skull'}",21224
21226,pocket mirror woodland,"{'mirror', 'pocket', 'woodland'}",21226
21228,pocket mirror glamorous,"{'mirror', 'pocket', 'glamorous'}",21228
21231,sweetheart ceramic trinket box,"{'trinket', 'ceramic', 'box', 'sweetheart'}",21231
21232,strawberry ceramic trinket box,"{'strawberry', 'trinket', 'ceramic', 'box'}",21231
21238,red retrospot cup,"{'retrospot', 'red', 'cup'}",21238
21239,pink polkadot cup,"{'polkadot', 'pink', 'cup'}",21239
21240,blue polkadot cup,"{'blue', 'polkadot', 'cup'}",21240
21242,red retrospot plate,"{'retrospot', 'red', 'plate'}",21238
21243,pink polkadot plate,"{'polkadot', 'pink', 'plate'}",21243
21244,blue polkadot plate,"{'blue', 'polkadot', 'plate'}",21244
21245,green polkadot plate,"{'green', 'polkadot', 'plate'}",21245
21246,red retrospot big bowl,"{'retrospot', 'bowl', 'big', 'red'}",20676
21248,door hanger mum dads room,"{'dad', 'room', 'door', 'hanger', 'mum'}",21248
21249,woodland height chart stickers,"{'height', 'chart', 'woodland', 'sticker'}",21249
21250,set of skull wall stickers,"{'set', 'skull', 'sticker', 'wall'}",22331
21251,dinosaur height chart sticker set,"{'dinosaur', 'chart', 'sticker', 'height', 'set'}",22331
21253,set of picture frame stickers,"{'set', 'frame', 'picture', 'sticker'}",21253
21257,victorian sewing box medium,"{'medium', 'box', 'victorian', 'sewing'}",21257
21258,victorian sewing box large,"{'box', 'large', 'victorian', 'sewing'}",21257
21259,victorian sewing box small,"{'small', 'box', 'victorian', 'sewing'}",21257
21260,first aid tin,"{'tin', 'aid', 'first'}",21260
21261,green goose feather christmas tree,"{'green', 'tree', 'goose', 'feather', 'christmas'}",21816
21262,white goose feather christmas tree,"{'white', 'tree', 'goose', 'feather', 'christmas'}",21147
21263,green goose feather tree cm,"{'goose', 'green', 'feather', 'tree'}",21261
21264,white goose feather tree cm,"{'goose', 'white', 'feather', 'tree'}",21261
21265,pink goose feather tree cm,"{'goose', 'feather', 'pink', 'tree'}",21261
21268,vintage blue tinsel reel,"{'blue', 'vintage', 'reel', 'tinsel'}",21268
21269,antique cream cutlery shelf,"{'cream', 'cutlery', 'shelf', 'antique'}",21269
21270,antique cream cutlery cupboard,"{'cream', 'cutlery', 'cupboard', 'antique'}",21269
21272,salle de bain hook,"{'bain', 'hook', 'salle'}",21272
21275,zinc top door wooden shelf,"{'door', 'wooden', 'top', 'shelf', 'zinc'}",21275
21277,french style embossed heart cabinet,"{'embossed', 'french', 'cabinet', 'style', 'heart'}",21277
21278,vintage kitchen print puddings,"{'print', 'vintage', 'pudding', 'kitchen'}",21278
21279,vintage kitchen print fruits,"{'print', 'vintage', 'fruit', 'kitchen'}",21278
21280,vintage kitchen print vegetables,"{'print', 'vegetable', 'vintage', 'kitchen'}",21278
21281,vintage kitchen print seafood,"{'print', 'vintage', 'seafood', 'kitchen'}",21278
21284,retrospot candle small,"{'small', 'retrospot', 'candle'}",21284
21285,retrospot candle medium,"{'medium', 'retrospot', 'candle'}",21285
21286,retrospot candle large,"{'large', 'retrospot', 'candle'}",21286
21287,scented velvet lounge candle,"{'scented', 'candle', 'velvet', 'lounge'}",21287
21288,stripey chocolate nesting boxes,"{'chocolate', 'nesting', 'box', 'stripey'}",21288
21289,large stripes chocolate gift bag,"{'chocolate', 'large', 'gift', 'bag', 'stripe'}",23312
21291,small polkadot chocolate gift bag,"{'chocolate', 'polkadot', 'small', 'gift', 'bag'}",21289
21292,small stripes chocolate gift bag,"{'chocolate', 'small', 'gift', 'bag', 'stripe'}",21289
21293,mirrored dove wall decoration,"{'decoration', 'mirrored', 'wall', 'dove'}",21293
21294,etched glass coaster,"{'etched', 'coaster', 'glass'}",21294
21306,set daisy mirror magnets,"{'set', 'daisy', 'mirror', 'magnet'}",21306
21307,set butterfly mirror magnets,"{'set', 'mirror', 'butterfly', 'magnet'}",21306
21310,capiz chandelier,"{'capiz', 'chandelier'}",21310
21311,set bird mirror magnets,"{'set', 'mirror', 'magnet', 'bird'}",21306
21313,glass heart tlight holder,"{'holder', 'heart', 'glass', 'tlight'}",21816
21314,small glass heart trinket pot,"{'trinket', 'pot', 'small', 'heart', 'glass'}",21314
21316,small chunky glass roman bowl,"{'chunky', 'roman', 'bowl', 'small', 'glass'}",21316
21317,glass sphere candle stand medium,"{'candle', 'sphere', 'stand', 'medium', 'glass'}",22215
21318,glass chalice blue small,"{'blue', 'small', 'chalice', 'glass'}",21318
21319,glass chalice green small,"{'green', 'small', 'chalice', 'glass'}",21318
21320,glass chalice green large,"{'green', 'large', 'chalice', 'glass'}",21318
21324,hanging medina lantern small,"{'small', 'lantern', 'medina', 'hanging'}",21324
21326,aged glass silver tlight holder,"{'silver', 'holder', 'aged', 'tlight', 'glass'}",21816
21327,skulls writing set,"{'set', 'writing', 'skull'}",21327
21328,balloons writing set,"{'set', 'writing', 'balloon'}",21328
21329,dinosaurs writing set,"{'set', 'dinosaur', 'writing'}",21329
21331,moroccan beaten metal dish large,"{'metal', 'moroccan', 'large', 'beaten', 'dish'}",21331
21332,moroccan beaten metal mirror,"{'mirror', 'moroccan', 'metal', 'beaten'}",21331
21333,classic white frame,"{'classic', 'frame', 'white'}",21333
21336,gold washbag,"{'washbag', 'gold'}",21336
21340,classic metal birdcage plant holder,"{'holder', 'birdcage', 'metal', 'classic', 'plant'}",21340
21344,moroccan beaten metal dish,"{'moroccan', 'dish', 'metal', 'beaten'}",21331
21348,pink spots chocolate nesting boxes,"{'spot', 'chocolate', 'box', 'nesting', 'pink'}",21288
21349,ivy heart wreath,"{'ivy', 'heart', 'wreath'}",21349
21351,cinammon orange wreath,"{'cinammon', 'orange', 'wreath'}",21351
21352,eucalyptus pinecone wreath,"{'pinecone', 'wreath', 'eucalyptus'}",21352
21354,toast its best mum,"{'best', 'toast', 'mum'}",21354
21355,toast its i love you,"{'toast', 'love'}",21355
21356,toast its fairy flower,"{'toast', 'fairy', 'flower'}",21356
21357,toast its dinosaur,"{'toast', 'dinosaur'}",21357
21358,toast its happy birthday,"{'toast', 'birthday', 'happy'}",21358
21359,relax large wood letters,"{'relax', 'large', 'letter', 'wood'}",21359
21360,joy large wood letters,"{'large', 'joy', 'letter', 'wood'}",21359
21361,love large wood letters,"{'large', 'love', 'letter', 'wood'}",21359
21363,home small wood letters,"{'small', 'home', 'letter', 'wood'}",21363
21364,peace small wood letters,"{'peace', 'small', 'letter', 'wood'}",21363
21365,mirrored wall art stars,"{'art', 'mirrored', 'star', 'wall'}",21365
21366,mirrored wall art photo frames,"{'wall', 'mirrored', 'photo', 'art', 'frame'}",21365
21367,mirrored wall art gents,"{'gent', 'mirrored', 'wall', 'art'}",21365
21368,mirrored wall art ladies,"{'lady', 'mirrored', 'wall', 'art'}",21365
21369,mirrored wall art splodges,"{'art', 'mirrored', 'splodge', 'wall'}",21365
21370,mirrored wall art foxy,"{'art', 'mirrored', 'wall', 'foxy'}",21365
21371,mirrored wall art poppies,"{'poppy', 'mirrored', 'wall', 'art'}",21365
21372,mirrored wall art table lamp,"{'table', 'wall', 'mirrored', 'art', 'lamp'}",21365
21373,mirrored wall art snowflakes,"{'mirrored', 'snowflake', 'wall', 'art'}",21365
21374,mirrored wall art skulls,"{'art', 'mirrored', 'skull', 'wall'}",21365
21375,large camphor wood field mushroom,"{'wood', 'field', 'large', 'mushroom', 'camphor'}",21375
21376,large tall camphor wood toadstool,"{'wood', 'large', 'toadstool', 'camphor', 'tall'}",21375
21377,small camphor wood field mushroom,"{'wood', 'field', 'mushroom', 'small', 'camphor'}",21375
21378,small tall camphor wood toadstool,"{'wood', 'small', 'toadstool', 'camphor', 'tall'}",21375
21379,camphor wood portobello mushroom,"{'portobello', 'camphor', 'wood', 'mushroom'}",21375
21380,wooden happy birthday garland,"{'wooden', 'garland', 'birthday', 'happy'}",21380
21381,mini wooden happy birthday garland,"{'garland', 'mini', 'wooden', 'birthday', 'happy'}",21380
21382,set spring flower decoration,"{'set', 'spring', 'flower', 'decoration'}",21382
21383,pack of sticky bunnies,"{'sticky', 'bunny', 'pack'}",21383
21385,ivory hanging decoration heart,"{'decoration', 'heart', 'ivory', 'hanging'}",22317
21386,ivory hanging decoration egg,"{'decoration', 'egg', 'ivory', 'hanging'}",21385
21389,ivory hanging decoration bird,"{'decoration', 'bird', 'ivory', 'hanging'}",21385
21390,filigris heart with butterfly,"{'butterfly', 'heart', 'filigris'}",21390
21391,french lavender scent heart,"{'french', 'heart', 'scent', 'lavender'}",21391
21392,red polkadot pudding bowl,"{'polkadot', 'pudding', 'bowl', 'red'}",20676
21393,blue polkadot pudding bowl,"{'polkadot', 'blue', 'bowl', 'pudding'}",21392
21394,red polkadot beaker,"{'beaker', 'polkadot', 'red'}",21394
21395,blue polkadot beaker,"{'blue', 'beaker', 'polkadot'}",21395
21397,blue polkadot egg cup,"{'blue', 'polkadot', 'egg', 'cup'}",21240
21398,red polkadot coffee mug,"{'coffee', 'polkadot', 'red', 'mug'}",21398
21399,blue polkadot coffee mug,"{'blue', 'coffee', 'polkadot', 'mug'}",22300
21400,red pudding spoon,"{'pudding', 'red', 'spoon'}",21400
21401,blue pudding spoon,"{'blue', 'pudding', 'spoon'}",21401
21402,red egg spoon,"{'spoon', 'egg', 'red'}",21402
21403,blue egg spoon,"{'blue', 'spoon', 'egg'}",21403
21407,brown check cat doorstop,"{'brown', 'check', 'cat', 'doorstop'}",21407
21408,spotty pink duck doorstop,"{'spotty', 'pink', 'duck', 'doorstop'}",21408
21410,country cottage doorstop green,"{'green', 'country', 'cottage', 'doorstop'}",21410
21411,gingham heart doorstop red,"{'heart', 'red', 'gingham', 'doorstop'}",21411
21412,vintage gold tinsel reel,"{'vintage', 'reel', 'tinsel', 'gold'}",21268
21413,periwinkle tlight holder,"{'periwinkle', 'holder', 'tlight'}",21413
21414,scallop shell soap dish,"{'soap', 'shell', 'scallop', 'dish'}",21414
21415,clam shell small,"{'small', 'clam', 'shell'}",21415
21416,clam shell large,"{'clam', 'shell', 'large'}",21416
21417,cockle shell dish,"{'dish', 'shell', 'cockle'}",21417
21418,starfish soap dish,"{'soap', 'dish', 'starfish'}",21418
21420,oyster trinket box,"{'oyster', 'trinket', 'box'}",21420
21421,porcelain rose large,"{'porcelain', 'rose', 'large'}",21421
21422,porcelain rose small,"{'porcelain', 'rose', 'small'}",21422
21424,woodland storage box large,"{'box', 'large', 'storage', 'woodland'}",21424
21425,skulls storage box large,"{'box', 'large', 'storage', 'skull'}",21424
21426,woodland storage box small,"{'small', 'box', 'storage', 'woodland'}",21424
21427,skulls storage box small,"{'small', 'box', 'storage', 'skull'}",21424
